Raw Data

TC= 31.70 C| TP= 31.90 C| TPL= 35.40 C| PWR =9.27 Watt| I_tot= 1.53 A| Vb= 6.09 V
TC= 31.70 C| TP= 31.90 C| TPL= 35.40 C| PWR =9.27 Watt| I_tot= 1.53 A| Vb= 6.09 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.40 C| PWR =9.21 Watt| I_tot= 1.52 A| Vb= 6.07 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.40 C| PWR =9.24 Watt| I_tot= 1.52 A| Vb= 6.08 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.50 C| PWR =9.21 Watt| I_tot= 1.52 A| Vb= 6.07 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.50 C| PWR =9.24 Watt| I_tot= 1.52 A| Vb= 6.08 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.50 C| PWR =9.24 Watt| I_tot= 1.52 A| Vb= 6.08 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.50 C| PWR =9.15 Watt| I_tot= 1.52 A| Vb= 6.05 V
TC= 31.60 C| TP= 32.00 C| TPL= 35.60 C| PWR =9.15 Watt| I_tot= 1.52 A| Vb= 6.05 V
TC= 30.40 C| TP= 31.90 C| TPL= 35.90 C| PWR =13.91 Watt| I_tot= 1.87 A| Vb= 7.46 V
TC= 30.40 C| TP= 31.90 C| TPL= 35.90 C| PWR =12.66 Watt| I_tot= 1.78 A| Vb= 7.12 V
TC= 30.50 C| TP= 31.90 C| TPL= 35.40 C| PWR =12.77 Watt| I_tot= 1.79 A| Vb= 7.15 V
TC= 30.50 C| TP= 31.90 C| TPL= 35.40 C| PWR =12.73 Watt| I_tot= 1.79 A| Vb= 7.14 V
TC= 30.50 C| TP= 31.90 C| TPL= 36.00 C| PWR =12.73 Watt| I_tot= 1.79 A| Vb= 7.14 V
TC= 30.50 C| TP= 31.90 C| TPL= 36.00 C| PWR =12.70 Watt| I_tot= 1.79 A| Vb= 7.13 V
TC= 30.60 C| TP= 31.90 C| TPL= 36.00 C| PWR =12.70 Watt| I_tot= 1.79 A| Vb= 7.13 V
TC= 30.60 C| TP= 31.90 C| TPL= 36.00 C| PWR =12.77 Watt| I_tot= 1.79 A| Vb= 7.15 V
